author,date,text
Khsitij3,2020-02-29 05:09:49,b'RT @Sharanyashettyy: This is celebrated.. But if India chooses to simply fasten the process of citizenship of those persecuted in neighbour\xe2\x80\xa6'
sdgofficial_BJP,2020-02-29 05:09:49,"b""RT @sarbanandsonwal: Blessed to offer my tribute to the man who is the symbol of India's unity and integrity. At Statue of Unity\n#SardarVal\xe2\x80\xa6"""
RAJAGOPALAN_NS,2020-02-29 05:09:49,b'RT @jihadwatchRS: India: Leftist news outlet NDTV edits out images of mosque with stockpile of stones from video on riots https://t.co/pQUJ\xe2\x80\xa6'
astockard639,2020-02-29 05:09:49,"b'RT @WhiteHouse: In India, President @realDonaldTrump ""offered a bright vision of future friendship between the world\xe2\x80\x99s most powerful and it\xe2\x80\xa6'"
cricket__gyaan,2020-02-29 05:09:49,b'RT @BCCI: Innings Break!\n\nIndia all out for 242.\n\nFollow the game - https://t.co/VTLQt4iEFz #NZvIND https://t.co/agR0cLMcpZ'
vivksingh,2020-02-29 05:09:49,"b'RT @majorgauravarya: The killings in Delhi are heartbreaking. But in a bid to be seen as strongman of the Islamic world, Erdogan talks only\xe2\x80\xa6'"
JunedYousufzai,2020-02-29 05:09:49,b'RT @EdwardGLuce: \xe2\x80\x9cIndia is being led by a man whose political career is marked by the blood of innocents\xe2\x80\x9d. The fearless @RanaAyyub on the s\xe2\x80\xa6'
rayybahry,2020-02-29 05:09:49,"b'RT @arjunsethi81: If you haven\xe2\x80\x99t been following the latest out of India, this video tells you everything you need to know. \n\nA pogrom again\xe2\x80\xa6'"
GumbyAKhan,2020-02-29 05:09:50,"b'RT @NHasina1: Given the violence of the past 72 hours, how can anyone doubt India\xe2\x80\x99s 200 million Muslims now find themselves on the brink of\xe2\x80\xa6'"
SamuelArnon,2020-02-29 05:09:49,b'@BJP4India @INCIndia A Human WRITE ?\n\nto TEACH Hidden #HumanRights ?\n\nwith SIGHT on WEST ?\n\nAnd an ADVISE to\n\nto TE\xe2\x80\xa6 https://t.co/Y0g4rBSvBl'
BasecampH,2020-02-29 05:09:50,b'RT @Hudzaifa1453: when Muslims are a minority the idea of \xe2\x80\x8b\xe2\x80\x8bhumanity is nonsense n HumanRights activists are silenced\n@mas1rwan\n@VADUKA__KO\xe2\x80\xa6'
Satyajeet3289,2020-02-29 05:09:50,b'Predicting a bumrah 5+-for and a lead of 50 for India in the first innings\n#INDvNZ'
ShahinAshraff,2020-02-29 05:09:50,"b'RT @business: Modi\xe2\x80\x99s new detention camps are the front lines of India\xe2\x80\x99s citizenship battle, and millions could end up in them https://t.co/\xe2\x80\xa6'"
Rebecca46347748,2020-02-29 05:09:50,"b'RT @AshaRangappa_: Is this supposed to be a positive? Lack of sleep contributes to poor brain functioning, lower immunity, and overall poor\xe2\x80\xa6'"
rajfederer,2020-02-29 05:09:50,"b'RT @cjwerleman: \xe2\x80\x9cIndia is being led by a man whose political career is marked by the blood of innocents,\xe2\x80\x9d writes \xe2\x81\xa6@RanaAyyub\xe2\x81\xa9. https://t.co\xe2\x80\xa6'"
krish_vijayan,2020-02-29 05:09:50,b'Circumcision ceremony of Shivasena is now public'
